Match_ID,Team1,Team2,season,date,match_number,Stadium,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets
1358929,Mumbai Indians,Gujarat Giants,2023,4/3/2023,1,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,field,H Kaur,N Pandit,N Pandit,Ranjeev Sharma,PG Pathak,GS Lakshmi,Mumbai Indians,143,0
1358930,Delhi Capitals,Royal Challengers Bangalore,2023,5/3/2023,2,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,field,TG Norris,Chirra Ravikanthreddy,Chirra Ravikanthreddy,Saurabh Dhote,M Kuppuraj,RB Kalita,Delhi Capitals,60,0
1358931,Gujarat Giants,UP Warriorz,2023,5/3/2023,3,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,GM Harris,Gayathri Venugopal,Gayathri Venugopal,N Pandit,PG Pathak,AV Narvekar,UP Warriorz,0,3
1358932,Royal Challengers Bangalore,Mumbai Indians,2023,6/3/2023,4,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,HK Matthews,PG Pathak,PG Pathak,Sanjay Kumar Singh,Saurabh Dhote,VR Nagre,Mumbai Indians,0,9
1358933,Delhi Capitals,UP Warriorz,2023,7/3/2023,5,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,JL Jonassen,Chirra Ravikanthreddy,Chirra Ravikanthreddy,M Kuppuraj,N Janani,RB Kalita,Delhi Capitals,42,0
1358934,Gujarat Giants,Royal Challengers Bangalore,2023,8/3/2023,6,Brabourne Stadium,Mumbai,Gujarat Giants,bat,SIR Dunkley,Ranjeev Sharma,Ranjeev Sharma,Gayathri Venugopal,N Pandit,GS Lakshmi,Gujarat Giants,11,0
1358935,Delhi Capitals,Mumbai Indians,2023,9/3/2023,7,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,bat,S Ishaque,M Kuppuraj,M Kuppuraj,Chirra Ravikanthreddy,PG Pathak,VR Nagre,Mumbai Indians,0,8
1358936,Royal Challengers Bangalore,UP Warriorz,2023,10/3/2023,8,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,AJ Healy,N Janani,N Janani,N Pandit,Ranjeev Sharma,AV Narvekar,UP Warriorz,0,10
1358937,Gujarat Giants,Delhi Capitals,2023,11/3/2023,9,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,M Kapp,Gayathri Venugopal,Gayathri Venugopal,M Kuppuraj,VG Rathi,GS Lakshmi,Delhi Capitals,0,10
1358938,UP Warriorz,Mumbai Indians,2023,12/3/2023,10,Brabourne Stadium,Mumbai,UP Warriorz,bat,H Kaur,N Janani,N Janani,Ranjeev Sharma,Chirra Ravikanthreddy,RB Kalita,Mumbai Indians,0,8
1358939,Royal Challengers Bangalore,Delhi Capitals,2023,13/3/2023,11,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,field,JL Jonassen,N Pandit,N Pandit,Sanjay Kumar Singh,M Kuppuraj,AV Narvekar,Delhi Capitals,0,6
1358940,Mumbai Indians,Gujarat Giants,2023,14/3/2023,12,Brabourne Stadium,Mumbai,Gujarat Giants,field,H Kaur,Chirra Ravikanthreddy,Chirra Ravikanthreddy,VG Rathi,N Janani,VR Nagre,Mumbai Indians,55,0
1358941,UP Warriorz,Royal Challengers Bangalore,2023,15/3/2023,13,Dr DY Patil Sports Academy,Navi Mumbai,Royal Challengers Bangalore,field,KS Ahuja,M Kuppuraj,M Kuppuraj,PG Pathak,N Pandit,GS Lakshmi,Royal Challengers Bangalore,0,5
1358942,Gujarat Giants,Delhi Capitals,2023,16/3/2023,14,Brabourne Stadium,Mumbai,Delhi Capitals,field,A Gardner,Ranjeev Sharma,Ranjeev Sharma,Gayathri Venugopal,Chirra Ravikanthreddy,RB Kalita,Gujarat Giants,11,0
1358943,Mumbai Indians,UP Warriorz,2023,18/3/2023,15,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,DB Sharma,Gayathri Venugopal,Gayathri Venugopal,N Janani,Saurabh Dhote,VR Nagre,UP Warriorz,0,5
1358944,Gujarat Giants,Royal Challengers Bangalore,2023,18/3/2023,16,Brabourne Stadium,Mumbai,Gujarat Giants,bat,SFM Devine,Sanjay Kumar Singh,Sanjay Kumar Singh,Chirra Ravikanthreddy,PG Pathak,AV Narvekar,Royal Challengers Bangalore,0,8
1358945,Gujarat Giants,UP Warriorz,2023,20/3/2023,17,Brabourne Stadium,Mumbai,Gujarat Giants,bat,GM Harris,Sanjay Kumar Singh,Sanjay Kumar Singh,N Janani,M Kuppuraj,GS Lakshmi,UP Warriorz,0,3
1358946,Mumbai Indians,Delhi Capitals,2023,20/3/2023,18,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,field,M Kapp,Chirra Ravikanthreddy,Chirra Ravikanthreddy,VG Rathi,Gayathri Venugopal,RB Kalita,Delhi Capitals,0,9
1358947,Royal Challengers Bangalore,Mumbai Indians,2023,21/3/2023,19,Dr DY Patil Sports Academy,Navi Mumbai,Mumbai Indians,field,AC Kerr,M Kuppuraj,M Kuppuraj,Saurabh Dhote,Ranjeev Sharma,AV Narvekar,Mumbai Indians,0,4
1358948,UP Warriorz,Delhi Capitals,2023,21/3/2023,20,Brabourne Stadium,Mumbai,Delhi Capitals,field,A Capsey,Gayathri Venugopal,Gayathri Venugopal,PG Pathak,VG Rathi,VR Nagre,Delhi Capitals,0,5
1358949,Mumbai Indians,UP Warriorz,2023,24/3/2023,Eliminator,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,NR Sciver,N Pandit,N Pandit,Gayathri Venugopal,Ranjeev Sharma,RB Kalita,Mumbai Indians,72,0
1358950,Delhi Capitals,Mumbai Indians,2023,26/3/2023,Final,Brabourne Stadium,Mumbai,Delhi Capitals,bat,NR Sciver,N Janani,N Janani,Gayathri Venugopal,PG Pathak,GS Lakshmi,Mumbai Indians,0,7